siren;sources;origines;methode_jointure;confiance_jointure;denomination;code_postal;commune;site_web;nom_structure_porteuse;naf;tranche_effectifs;categorie_juridique;denomination__tiers_lieux;code_postal__tiers_lieux;commune__tiers_lieux;site_web__tiers_lieux;denomination__ess_numerique;denomination__cate_juridique;nom_usage;famille_ess;naf_numerique;tags_numerique
340326693;ess_france|sirene;ess_numerique;siren_direct;;CEFAR SERVICES;;;;;62.02A;;;;;;;;;;;True;conseil_it
340636299;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;SERVICE ETUDE PROJET DE L'EFREI;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
340636885;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;CENTRE REGIONALE INFORMATIQUE;;;;;62.01Z;NN;9220.0;;;;;;;;association;True;dev_logiciel
340899202;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS DEVELOP PROTECTION EMPLOI DISTANCE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
340945187;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ACTION MODE ESCP;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
340960723;ess_france|sirene;ess_numerique;siren_direct;;CENTRE INFOR DIFF DOC INFORM TELEMATIQUE;;;;;62.02A;;;;;;;;;;;True;conseil_it
341245348;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;VOICOLLUMIERE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
341287308;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS LORRAINE INFORM DOCUMEN FORMAT AGRIC;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
341452522;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;UNION DE COOPERATIVES AGRICOLES BRIENON CHABLIS;;;;;62.01Z;NN;6318.0;;;;;;;;cooperative;True;dev_logiciel
341614675;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS DIFFUSION DOCUMEN HOSPITAL ET SANTE;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
341914257;ess_france|sirene;cate_juridique|ess_numerique;siren_direct;;ASS POUR ENCOURAGEMENT ETUDES ANCIENNES;;;;;63.11Z;NN;9220.0;;;;;;;;association;True;hebergement
